Year,State,PHYSHLTH,MENTHLTH
1996,Maryland,8.938566552901024,10.218430034129693
1996,Massachusetts,8.25,10.66358024691358
1996,Michigan,9.32853717026379,10.201438848920864
1996,Minnesota,7.97989417989418,8.6994708994709
1996,Mississippi,12.50909090909091,13.466666666666667
1996,Missouri,11.086206896551724,11.491379310344827
1996,Montana,8.95435684647303,9.49792531120332
1996,Nebraska,8.155844155844155,9.75
1996,Nevada,9.636645962732919,10.354037267080745
1996,New Hampshire,10.075892857142858,10.223214285714286
1996,New Jersey,9.825581395348838,11.341860465116278
1996,New Mexico,10.545454545454545,12.254545454545454
1996,New York,9.09325681492109,10.680057388809182
1996,North Carolina,13.05531914893617,13.13191489361702
1996,North Dakota,10.069444444444445,10.63888888888889
1996,Ohio,11.720779220779221,11.935064935064934
