State,Year,Month,SPI
SD,1995,4,1.2157575757575758
SD,1995,5,1.27060606060606
SD,1995,6,-0.3007575757575758
SD,1995,7,0.3560606060606061
SD,1995,8,0.040000000000000015
SD,1995,9,0.38878787878787874
SD,1995,10,1.447878787878788
SD,1995,11,-0.009393939393939397
SD,1995,12,-0.7148484848484846
SD,1996,1,1.0280303030303028
SD,1996,2,-0.6230303030303029
SD,1996,3,-0.3374242424242425
SD,1996,4,-1.2225757575757574
SD,1996,5,1.2203030303030298
SD,1996,6,-0.7683333333333333
SD,1996,7,-0.4136363636363636
SD,1996,8,-0.34560606060606053
SD,1996,9,1.6940909090909089
SD,1996,10,0.9445454545454544
SD,1996,11,1.0131818181818182
SD,1996,12,1.2900000000000003
SD,1997,1,1.3925757575757576
SD,1997,2,0.7739393939393938
SD,1997,3,-0.9693939393939395
SD,1997,4,0.5521212121212121
SD,1997,5,0.03681818181818181
SD,1997,6,-0.2142424242424243
SD,1997,7,0.9422727272727273
SD,1997,8,-0.09575757575757572
SD,1997,9,0.0671212121212121
SD,1997,10,0.6460606060606061
SD,1997,11,-0.49575757575757584
SD,1997,12,-0.9351515151515152
SD,1998,1,0.23848484848484847
SD,1998,2,0.35803030303030287
SD,1998,3,0.9077272727272729
SD,1998,4,-0.0853030303030303
SD,1998,5,-0.18212121212121216
SD,1998,6,0.6133333333333334
SD,1998,7,0.2946969696969696
SD,1998,8,0.6901515151515153
SD,1998,9,-1.1848484848484853
SD,1998,10,2.3163636363636364
SD,1998,11,1.0595454545454543
SD,1998,12,-0.8637878787878789
SD,1999,1,0.32742424242424234
SD,1999,2,-0.6516666666666666
SD,1999,3,-0.41030303030303017
SD,1999,4,0.8937878787878786
SD,1999,5,0.5415151515151515
SD,1999,6,0.7000000000000001
SD,1999,7,0.2822727272727273
SD,1999,8,0.294848484848485
SD,1999,9,0.7836363636363635
SD,1999,10,-0.9286363636363637
SD,1999,11,-1.0487878787878788
SD,1999,12,-0.861060606060606
SD,2000,1,-0.024848484848484873
SD,2000,2,0.5462121212121211
SD,2000,3,0.10575757575757576
SD,2000,4,0.3212121212121213
SD,2000,5,0.358939393939394
SD,2000,6,-0.40742424242424236
SD,2000,7,0.04575757575757576
SD,2000,8,-0.46515151515151515
SD,2000,9,-1.0242424242424244
