State_Abbrev,Year,Gas_Per_Gallon
MI,1996,1.1429904761904761
MN,1996,1.3045
MO,1996,1.1603838095238095
MS,1996,1.1765347619047621
MT,1996,1.3454985714285714
NC,1996,1.1864738095238097
ND,1996,1.2225028571428571
NE,1996,1.2448657142857142
NH,1996,1.2672285714285714
NJ,1996,1.193928095238095
NM,1996,1.2672285714285714
NV,1996,1.2945609523809525
NY,1996,1.2336842857142858
OH,1996,1.2274723809523809
OK,1996,1.1305666666666665
OR,1996,1.3914666666666666
PA,1996,1.2523199999999999
RI,1996,1.3430138095238096
SC,1996,1.1131733333333333
SD,1996,1.2274723809523809
TN,1996,1.2212604761904762
TX,1996,1.2075942857142858
US,1996,1.2225028571428571
UT,1996,1.2535623809523808
VA,1996,1.2113214285714287
VT,1996,1.2572895238095239
WA,1996,1.3517104761904764
WI,1996,1.279652380952381
WV,1996,1.275925238095238
WY,1996,1.1578990476190476
AK,1997,1.4887583333333334
AL,1997,1.1671666666666667
AR,1997,1.1559916666666668
AZ,1997,1.3136833333333333
CA,1997,1.2727083333333333
CO,1997,1.3074749999999997
CT,1997,1.4813083333333332
DC,1997,1.3794916666666666
DE,1997,1.2938166666666666
FL,1997,1.1336416666666669
GA,1997,1.0107166666666667
HI,1997,1.5210416666666666
IA,1997,1.1783416666666666
ID,1997,1.3087166666666665
IL,1997,1.2354583333333333
IN,1997,1.13985
KS,1997,1.1597166666666665
KY,1997,1.2056583333333333
LA,1997,1.19945
MA,1997,1.3310666666666666
MD,1997,1.3273416666666666
ME,1997,1.2962999999999998
MI,1997,1.128675
MN,1997,1.2975416666666664
MO,1997,1.1547500000000002
MS,1997,1.158475
MT,1997,1.3559
NC,1997,1.188275
ND,1997,1.2019333333333333
NE,1997,1.1944833333333331
NH,1997,1.2615333333333334
NJ,1997,1.1808249999999998
NM,1997,1.2640166666666666
NV,1997,1.3124416666666665
NY,1997,1.2466333333333333
OH,1997,1.21435
OK,1997,1.1162583333333334
OR,1997,1.3819750000000002
PA,1997,1.270225
RI,1997,1.3496916666666665
SC,1997,1.0926666666666667
SD,1997,1.2565666666666666
TN,1997,1.1982083333333333
TX,1997,1.1808249999999998
US,1997,1.218075
UT,1997,1.30375
VA,1997,1.1969666666666667
VT,1997,1.2826416666666667
WA,1997,1.2987833333333334
WI,1997,1.2516
WV,1997,1.2789166666666667
WY,1997,1.1746166666666666
AK,1998,1.2640166666666666
AL,1998,1.0132
AR,1998,0.9908500000000001
AZ,1998,1.1026
CA,1998,1.1162583333333334
CO,1998,1.1075666666666666
CT,1998,1.2516
DC,1998,1.2391833333333335
DE,1998,1.1050833333333334
FL,1998,0.9535999999999999
GA,1998,0.8592333333333334
HI,1998,1.4875166666666668
IA,1998,0.9945749999999999
ID,1998,1.128675
IL,1998,1.0814916666666667
IN,1998,0.9908500000000001
KS,1998,0.9747083333333332
KY,1998,1.05045
LA,1998,1.031825
MA,1998,1.1274333333333333
MD,1998,1.1609583333333333
ME,1998,1.1013583333333332
MI,1998,0.9995416666666667
MN,1998,1.1311583333333333
MO,1998,0.9771916666666666
MS,1998,0.979675
MT,1998,1.1572333333333333
NC,1998,1.0094750000000001
ND,1998,1.0516916666666667
NE,1998,1.0169249999999999
NH,1998,1.0963916666666667
NJ,1998,1.0045083333333333
NM,1998,1.08025
NV,1998,1.1435750000000002
NY,1998,1.0628666666666666
OH,1998,1.0914249999999999
OK,1998,0.9436666666666667
OR,1998,1.1684083333333333
PA,1998,1.08025
RI,1998,1.1485416666666666
SC,1998,0.9300083333333333
SD,1998,1.0678333333333332
TN,1998,1.0256166666666666
TX,1998,1.0194083333333335
US,1998,1.049208333333333
UT,1998,1.1261916666666667
VA,1998,1.024375
VT,1998,1.1112916666666666
WA,1998,1.1125333333333334
WI,1998,1.1026
WV,1998,1.0939083333333333
WY,1998,1.02065
AK,1999,1.2473964285714287
AL,1999,1.0860416666666668
AR,1999,1.0550119047619047
AZ,1999,1.19899
CA,1999,1.30325
CO,1999,1.206437142857143
CT,1999,1.3491740476190475
DC,1999,1.2846321428571428
DE,1999,1.2176078571428572
FL,1999,1.0550119047619047
GA,1999,0.966887380952381
HI,1999,1.4037864285714288
IA,1999,1.076112142857143
ID,1999,1.2126430952380953
IL,1999,1.1567895238095238
IN,1999,1.0860416666666668
KS,1999,1.073629761904762
KY,1999,1.1555483333333334
LA,1999,1.1145890476190476
MA,1999,1.246155238095238
MD,1999,1.230019761904762
ME,1999,1.2188490476190477
MI,1999,1.0748709523809525
MN,1999,1.203954761904762
MO,1999,1.071147380952381
MS,1999,1.0674238095238096
MT,1999,1.2610495238095238
NC,1999,1.0885240476190476
ND,1999,1.1443776190476191
NE,1999,1.0823180952380953
NH,1999,1.203954761904762
NJ,1999,1.1083830952380953
NM,1999,1.1828545238095238
NV,1999,1.3231090476190477
NY,1999,1.1878192857142857
OH,1999,1.1890604761904762
OK,1999,1.0475647619047619
OR,1999,1.3752390476190477
PA,1999,1.177889761904762
RI,1999,1.2536023809523809
SC,1999,1.0227409523809523
SD,1999,1.1406540476190474
TN,1999,1.102177142857143
TX,1999,1.102177142857143
US,1999,1.1555483333333334
UT,1999,1.2573259523809526
VA,1999,1.1059007142857145
VT,1999,1.2287785714285715
WA,1999,1.30325
WI,1999,1.1865780952380953
WV,1999,1.1629954761904762
WY,1999,1.1555483333333334
AK,2000,1.5939942857142857
AL,2000,1.4139871428571429
AR,2000,1.4090214285714286
AZ,2000,1.5108185714285716
CA,2000,1.5542685714285713
CO,2000,1.53813
CT,2000,1.6374442857142857
DC,2000,1.4971628571428572
DE,2000,1.5269571428571431
FL,2000,1.366812857142857
GA,2000,1.28612
HI,2000,1.6659971428571427
IA,2000,1.4537128571428573
ID,2000,1.5790971428571432
IL,2000,1.524474285714286
IN,2000,1.4264014285714286
KS,2000,1.4214357142857144
KY,2000,1.44254
LA,2000,1.4264014285714286
MA,2000,1.566682857142857
MD,2000,1.4872314285714288
ME,2000,1.5368885714285716
MI,2000,1.4735757142857142
MN,2000,1.523232857142857
MO,2000,1.4152285714285715
